Date,Close/Last,Volume,Open,High,Low
07/26/2022,$151.6,55138690,$152.265,$153.085,$150.8
07/25/2022,$152.95,53623950,$154.01,$155.04,$152.28
07/22/2022,$154.09,66675410,$155.39,$156.28,$153.41
07/21/2022,$155.35,65086640,$154.5,$155.57,$151.94
07/20/2022,$153.04,64823410,$151.12,$153.72,$150.37
07/19/2022,$151,82982370,$147.92,$151.23,$146.91
07/18/2022,$147.07,81420870,$150.74,$151.57,$146.7
07/15/2022,$150.17,76259930,$149.78,$150.86,$148.2
07/14/2022,$148.47,78140740,$144.08,$148.95,$143.25
07/13/2022,$145.49,71185560,$142.99,$146.45,$142.1201
07/12/2022,$145.86,77588760,$145.76,$148.45,$145.05
07/11/2022,$144.87,63305110,$145.67,$146.64,$143.78
07/08/2022,$147.04,64547800,$145.265,$147.55,$145
07/07/2022,$146.35,66253710,$143.29,$146.55,$143.28
07/06/2022,$142.92,74064250,$141.355,$144.12,$141.08
07/05/2022,$141.56,73429640,$137.77,$141.61,$136.93
07/01/2022,$138.93,71051550,$136.04,$139.04,$135.66
06/30/2022,$136.72,98964470,$137.25,$138.37,$133.7737
06/29/2022,$139.23,66242410,$137.46,$140.67,$136.67
06/28/2022,$137.44,67315330,$142.13,$143.422,$137.325
06/27/2022,$141.66,70207910,$142.695,$143.49,$140.965
06/24/2022,$141.66,89116840,$139.9,$141.91,$139.77
06/23/2022,$138.27,72433770,$136.82,$138.59,$135.63
06/22/2022,$135.35,73409230,$134.79,$137.76,$133.91
06/21/2022,$135.87,81000490,$133.42,$137.06,$133.32
06/17/2022,$131.56,134520300,$130.065,$133.079,$129.81
06/16/2022,$130.06,107961500,$132.08,$132.39,$129.04
06/15/2022,$135.43,91532970,$134.29,$137.34,$132.16
06/14/2022,$132.76,84784330,$133.13,$133.89,$131.48
06/13/2022,$131.88,122207100,$132.87,$135.2,$131.44
06/10/2022,$137.13,91566640,$140.28,$140.76,$137.06
06/09/2022,$142.64,69472980,$147.08,$147.95,$142.53
06/08/2022,$147.96,53950200,$148.58,$149.8697,$147.46
06/07/2022,$148.71,67808150,$144.345,$149,$144.1
06/06/2022,$146.14,71598380,$147.03,$148.5689,$144.9
06/03/2022,$145.38,88570290,$146.9,$147.97,$144.46
06/02/2022,$151.21,72348060,$147.83,$151.27,$146.86
06/01/2022,$148.71,74286640,$149.9,$151.74,$147.68
05/31/2022,$148.84,103718400,$149.07,$150.66,$146.84
05/27/2022,$149.64,90978500,$145.39,$149.68,$145.26
05/26/2022,$143.78,90601550,$137.39,$144.34,$137.14
05/25/2022,$140.52,92482700,$138.43,$141.785,$138.34
05/24/2022,$140.36,104132700,$140.805,$141.97,$137.33
05/23/2022,$143.11,117726300,$137.79,$143.26,$137.65
05/20/2022,$137.59,137426100,$139.09,$140.7,$132.61
05/19/2022,$137.35,136095600,$139.88,$141.66,$136.6
05/18/2022,$140.82,109742900,$146.85,$147.3601,$139.9
05/17/2022,$149.24,78336250,$148.86,$149.77,$146.68
05/16/2022,$145.54,86643780,$145.55,$147.5199,$144.18
05/13/2022,$147.11,113990900,$144.59,$148.105,$143.11
05/12/2022,$142.56,182602000,$142.77,$146.2,$138.8
05/11/2022,$146.5,142689800,$153.5,$155.45,$145.81
05/10/2022,$154.51,115366700,$155.52,$156.74,$152.93
05/09/2022,$152.06,131577900,$154.925,$155.83,$151.49
05/06/2022,$157.28,116124600,$156.01,$159.44,$154.18
05/05/2022,$156.77,130525300,$163.85,$164.08,$154.95
05/04/2022,$166.02,108256500,$159.67,$166.48,$159.26
05/03/2022,$159.48,88966530,$158.15,$160.71,$156.32
05/02/2022,$157.96,123055300,$156.71,$158.23,$153.27
04/29/2022,$157.65,131747600,$161.84,$166.2,$157.25
04/28/2022,$163.64,130216800,$159.25,$164.515,$158.93
04/27/2022,$156.57,88063190,$155.91,$159.79,$155.38
04/26/2022,$156.8,95623240,$162.25,$162.34,$156.72
04/25/2022,$162.88,96046380,$161.12,$163.17,$158.46
04/22/2022,$161.79,84882420,$166.46,$167.8699,$161.5
04/21/2022,$166.42,87227770,$168.91,$171.53,$165.91
04/20/2022,$167.23,67929810,$168.76,$168.88,$166.1
04/19/2022,$167.4,67723830,$165.02,$167.82,$163.91
04/18/2022,$165.07,69023940,$163.92,$166.5984,$163.57
04/14/2022,$165.29,75329380,$170.62,$171.27,$165.04
04/13/2022,$170.4,70618930,$167.39,$171.04,$166.77
04/12/2022,$167.66,79265180,$168.02,$169.87,$166.64
04/11/2022,$165.75,72246710,$168.71,$169.03,$165.5
04/08/2022,$170.09,76575510,$171.78,$171.78,$169.2
04/07/2022,$172.14,77594650,$171.16,$173.36,$169.85
04/06/2022,$171.83,89058780,$172.36,$173.63,$170.13
04/05/2022,$175.06,73401790,$177.5,$178.3,$174.415
04/04/2022,$178.44,76545980,$174.57,$178.49,$174.44
04/01/2022,$174.31,78751330,$174.03,$174.88,$171.94
03/31/2022,$174.61,103049300,$177.84,$178.03,$174.4
03/30/2022,$177.77,92633150,$178.55,$179.61,$176.7
03/29/2022,$178.96,100589400,$176.69,$179.01,$176.34
03/28/2022,$175.6,90371920,$172.17,$175.73,$172
03/25/2022,$174.72,80546160,$173.88,$175.28,$172.75
03/24/2022,$174.07,90131420,$171.06,$174.14,$170.21
03/23/2022,$170.21,98062670,$167.99,$172.64,$167.65
03/22/2022,$168.82,81532010,$165.51,$169.42,$164.91
03/21/2022,$165.38,95811350,$163.51,$166.35,$163.015
03/18/2022,$163.98,123511700,$160.51,$164.48,$159.76
03/17/2022,$160.62,75615380,$158.61,$161,$157.63
03/16/2022,$159.59,102300200,$157.05,$160,$154.46
03/15/2022,$155.09,92964300,$150.9,$155.57,$150.38
03/14/2022,$150.62,108732100,$151.45,$154.12,$150.1
03/11/2022,$154.73,96970100,$158.93,$159.28,$154.5
03/10/2022,$158.52,105342000,$160.2,$160.39,$155.98
03/09/2022,$162.95,91454910,$161.475,$163.41,$159.41
03/08/2022,$157.44,131148300,$158.82,$162.88,$155.8
03/07/2022,$159.3,96418850,$163.36,$165.02,$159.04
03/04/2022,$163.17,83819590,$164.49,$165.55,$162.1
03/03/2022,$166.23,76678440,$168.47,$168.91,$165.55
03/02/2022,$166.56,79724750,$164.39,$167.36,$162.95
03/01/2022,$163.2,83474430,$164.695,$166.6,$161.97
02/28/2022,$165.12,95056630,$163.06,$165.42,$162.43
02/25/2022,$164.85,91974220,$163.84,$165.12,$160.8738
02/24/2022,$162.74,141147500,$152.58,$162.85,$152
02/23/2022,$160.07,90009250,$165.54,$166.15,$159.75
02/22/2022,$164.32,91162760,$164.98,$166.69,$162.15
02/18/2022,$167.3,82772670,$169.82,$170.5413,$166.19
02/17/2022,$168.88,69589340,$171.03,$171.91,$168.47
02/16/2022,$172.55,61177400,$171.85,$173.34,$170.05
02/15/2022,$172.79,64286320,$170.97,$172.95,$170.25
02/14/2022,$168.88,86185530,$167.37,$169.58,$166.56
02/11/2022,$168.64,98670690,$172.33,$173.08,$168.04
02/10/2022,$172.12,90865900,$174.14,$175.48,$171.55
02/09/2022,$176.28,71285040,$176.05,$176.65,$174.9
02/08/2022,$174.83,74829220,$171.73,$175.35,$171.43
02/07/2022,$171.66,77251200,$172.86,$173.9458,$170.95
02/04/2022,$172.39,82465400,$171.68,$174.1,$170.68
02/03/2022,$172.9,89418070,$174.48,$176.2399,$172.12
02/02/2022,$175.84,84914260,$174.745,$175.88,$173.33
02/01/2022,$174.61,86213910,$174.01,$174.84,$172.31
01/31/2022,$174.78,115541600,$170.16,$175,$169.51
01/28/2022,$170.33,179935700,$165.71,$170.35,$162.8
01/27/2022,$159.22,121954600,$162.45,$163.84,$158.28
01/26/2022,$159.69,108275300,$163.5,$164.3894,$157.82
01/25/2022,$159.78,115798400,$158.98,$162.76,$157.02
01/24/2022,$161.62,162706700,$160.02,$162.3,$154.7
01/21/2022,$162.41,122848900,$164.415,$166.33,$162.3
01/20/2022,$164.51,91420520,$166.98,$169.68,$164.18
01/19/2022,$166.23,94814990,$170,$171.08,$165.94
01/18/2022,$169.8,91168730,$171.51,$172.54,$169.405
01/14/2022,$173.07,80440780,$171.34,$173.78,$171.09
